pft	par.names	par.prior	par.lower	par.upper	par.pftspecif	comment	sensitivity
BoNS	WATER_SL_BoNS	5	0.1	10	TRUE	LPJmL default	N
BoNS	WATER_BASE_BoNS	2.344	-100	100	TRUE	LPJmL default	S
BoNS	WATER_TAU_BoNS	0.8	0.01	0.99	TRUE	LPJmL default	N
BoNS	MORT_MAX_BoNS	0.03	0.01	0.06	TRUE	LPJmL default	S
BoNS	K_EST_BoNS	0.12	0.01	0.3	TRUE	LPJmL default	S
BoNS	TWMAX_BoNS	23	0	40	TRUE	LPJmL default	S
BoNS	TSAP_BoNS	20	5	50	TRUE	LPJmL default	S
BoNS	APHEN_MIN_BoNS	10	1	600	TRUE	LPJmL default	N
BoNS	APHEN_MAX_BoNS	105.78	1	600	TRUE	LPJmL default	N
TrH	ALPHAA_TrH	0.4002	0.4	0.83	TRUE	LPJmL default	S
TrH	ALBEDO_LEAF_TrH	0.2363	0.01	0.25	TRUE	LPJmL default	S
TrH	ALBEDO_STEM_TrH	0.15	0.09	0.21	TRUE	LPJmL default	N
TrH	ALBEDO_LITTER_TrH	0.1211	0.02	0.13	TRUE	LPJmL default	N
TrH	SNOWCANOPYFRAC_TrH	0.4	0.1	0.9	TRUE	LPJmL default	N
TrH	LIGHTEXTCOEFF_TrH	0.51	0.16	1.5	TRUE	LPJmL default	S
TrH	TMIN_SL_TrH	0.91	0.12	1.97	TRUE	LPJmL default	N
TrH	TMIN_BASE_TrH	6.418	-50	50	TRUE	LPJmL default	S
TrH	TMIN_TAU_TrH	0.2	0.01	0.9	TRUE	LPJmL default	N
TrH	TMAX_SL_TrH	1.47	0.03	2.71	TRUE	LPJmL default	N
TrH	TMAX_BASE_TrH	29.16	20	1000	TRUE	LPJmL default	S
TrH	TMAX_TAU_TrH	0.2	0.01	0.9	TRUE	LPJmL default	N
TrH	LIGHT_SL_TrH	64.23	0.08	128.57	TRUE	LPJmL default	N
TrH	LIGHT_BASE_TrH	69.9	-100	200	TRUE	LPJmL default	S
TrH	LIGHT_TAU_TrH	0.4	0.06	0.88	TRUE	LPJmL default	N
TrH	WATER_SL_TrH	0.1	0.01	1	TRUE	LPJmL default	N
TrH	WATER_BASE_TrH	41.72	-100	100	TRUE	LPJmL default	S
TrH	WATER_TAU_TrH	0.17	0.01	0.99	TRUE	LPJmL default	N
TrH	RAMP_TrH	100	1	1000	TRUE	LPJmL default	S
TrH	TWMAX_TrH	1000	999	1001	TRUE	LPJmL default	N
TeH	ALPHAA_TeH	0.3183	0.12	0.82	TRUE	LPJmL default	S
TeH	ALBEDO_LEAF_TeH	0.1839	0.11	0.28	TRUE	LPJmL default	S
TeH	ALBEDO_STEM_TeH	0.15	0.077	0.21	TRUE	LPJmL default	N
TeH	ALBEDO_LITTER_TeH	0.06767	0.01	0.16	TRUE	LPJmL default	N
TeH	SNOWCANOPYFRAC_TeH	0.4	0.1	0.9	TRUE	LPJmL default	N
TeH	LIGHTEXTCOEFF_TeH	0.502	0.16	1.5	TRUE	LPJmL default	S
TeH	TMIN_SL_TeH	0.3111	0.1	1.94	TRUE	LPJmL default	N
TeH	TMIN_BASE_TeH	4.979	-50	50	TRUE	LPJmL default	S
TeH	TMIN_TAU_TeH	0.01011	0.01	0.9	TRUE	LPJmL default	N
TeH	TMAX_SL_TeH	0.24	0.01	3	TRUE	LPJmL default	N
TeH	TMAX_BASE_TeH	32.04	-50	1000	TRUE	LPJmL default	S
TeH	TMAX_TAU_TeH	0.2	0.01	0.9	TRUE	LPJmL default	N
TeH	LIGHT_SL_TeH	23	0.05	160	TRUE	LPJmL default	N
TeH	LIGHT_BASE_TeH	75.94	-100	200	TRUE	LPJmL default	S
TeH	LIGHT_TAU_TeH	0.22	0.01	0.82	TRUE	LPJmL default	N
TeH	WATER_SL_TeH	0.5222	0.1	9.38	TRUE	LPJmL default	N
TeH	WATER_BASE_TeH	53.07	-100	100	TRUE	LPJmL default	S
TeH	WATER_TAU_TeH	0.01001	0.01	0.99	TRUE	LPJmL default	N
TeH	RAMP_TeH	100	1	150	TRUE	LPJmL default	N
TeH	TWMAX_TeH	1000	999	1001	TRUE	LPJmL default	N
PoH	ALPHAA_PoH	0.426	0.1	0.8	TRUE	LPJmL default	S
PoH	ALBEDO_LEAF_PoH	0.07	0.06	0.3	TRUE	LPJmL default	S
PoH	ALBEDO_STEM_PoH	0.15	0.077	0.21	TRUE	LPJmL default	N
PoH	ALBEDO_LITTER_PoH	0.03	0.01	0.23	TRUE	LPJmL default	N
PoH	SNOWCANOPYFRAC_PoH	0.4	0.1	0.9	TRUE	LPJmL default	N
PoH	LIGHTEXTCOEFF_PoH	0.51	0.1	2	TRUE	LPJmL default	S
PoH	TMIN_SL_PoH	0.13	0.1	1.94	TRUE	LPJmL default	N
PoH	TMIN_BASE_PoH	2.79	-50	50	TRUE	LPJmL default	S
PoH	TMIN_TAU_PoH	0.2	0.01	0.9	TRUE	LPJmL default	N
PoH	TMAX_SL_PoH	0.24	0.01	3	TRUE	LPJmL default	N
PoH	TMAX_BASE_PoH	1000	999	1001	TRUE	LPJmL default	N
PoH	TMAX_TAU_PoH	0.2	0.01	0.9	TRUE	LPJmL default	N
PoH	LIGHT_SL_PoH	23	0.05	160	TRUE	LPJmL default	N
PoH	LIGHT_BASE_PoH	50	-100	200	TRUE	LPJmL default	S
PoH	LIGHT_TAU_PoH	0.38	0.01	0.88	TRUE	LPJmL default	N
PoH	WATER_SL_PoH	0.88	0.1	8.26	TRUE	LPJmL default	N
PoH	WATER_BASE_PoH	1	-100	100	TRUE	LPJmL default	S
PoH	WATER_TAU_PoH	0.94	0.01	0.99	TRUE	LPJmL default	N
PoH	RAMP_PoH	100	1	150	TRUE	LPJmL default	N
PoH	TWMAX_PoH	1000	999	1001	TRUE	LPJmL default	N
global	ALPHAC3	0.08	0.07	0.09	FALSE	LPJmL default	S
global	ALPHAC4	0.053	0.05	0.06	FALSE	LPJmL default	S
TrBE	GDD_MIN_TrBE	5928.8	3000	8000	TRUE	BCL analysis	S
TeBE	GDD_MIN_TeBE	3000	0	5000	TRUE	BCL analysis	S
TrBR	GDD_MIN_TrBR	5171	3000	7000	TRUE	BCL analysis	S
TeBS	GDD_MIN_TeBS	3000	1000	5000	TRUE	BCL analysis	S
BoBS	GDD_MIN_BoBS	1500	300	3000	TRUE	BCL analysis	S
TeNE	GDD_MIN_TeNE	3000	1000	4000	TRUE	BCL analysis	S
BoNE	GDD_MIN_BoNE	416.05	0	1500	TRUE	BCL analysis	S
BoNS	GDD_MIN_BoNS	358.05	0	1500	TRUE	BCL analysis	S
TrH	GDD_MIN_TrH	5000	1000	6000	TRUE	BCL analysis	S
TeH	GDD_MIN_TeH	1106.28	500	2000	TRUE	BCL analysis	S
PoH	GDD_MIN_PoH	-1000	-1001	-999	TRUE	BCL analysis	N
TrBE	TC_MIN_TrBE	7.9	0	15	TRUE	BCL analysis	S
TeBE	TC_MIN_TeBE	0	-60	10	TRUE	BCL analysis	S
TrBR	TC_MIN_TrBR	10	-5	20	TRUE	BCL analysis	S
TeBS	TC_MIN_TeBS	-15	-30	-5	TRUE	BCL analysis	S
BoBS	TC_MIN_BoBS	-35	-60	-20	TRUE	BCL analysis	S
TeNE	TC_MIN_TeNE	-10	-30	5	TRUE	BCL analysis	S
BoNE	TC_MIN_BoNE	-40	-60	-20	TRUE	BCL analysis	S
BoNS	TC_MIN_BoNS	-53.4	-60	-40	TRUE	BCL analysis	S
TrH	TC_MIN_TrH	10	-40	20	TRUE	BCL analysis	S
TeH	TC_MIN_TeH	-35.7	-40	20	TRUE	BCL analysis	S
PoH	TC_MIN_PoH	-47	-60	-20	TRUE	BCL analysis	S
TrBE	TC_MAX_TrBE	1000	999	1001	TRUE	BCL analysis	N
TeBE	TC_MAX_TeBE	18.8	15	28	TRUE	BCL analysis	S
TrBR	TC_MAX_TrBR	1000	999	1001	TRUE	BCL analysis	N
TeBS	TC_MAX_TeBS	15.5	10	25	TRUE	BCL analysis	S
BoBS	TC_MAX_BoBS	2.8	-5	10	TRUE	BCL analysis	S
TeNE	TC_MAX_TeNE	22	15	30	TRUE	BCL analysis	S
BoNE	TC_MAX_BoNE	1.7	-5	10	TRUE	BCL analysis	S
BoNS	TC_MAX_BoNS	-20	-30	5	TRUE	BCL analysis	S
TrH	TC_MAX_TrH	1000	999	1001	TRUE	BCL analysis	N
TeH	TC_MAX_TeH	15.5	10	25	TRUE	BCL analysis	S
PoH	TC_MAX_PoH	0	-10	10	TRUE	BCL analysis	S
TrBE	TWC_MIN_TrBE	-1000	-1001	-999	TRUE	BCL analysis	N
TeBE	TWC_MIN_TeBE	-1000	-1001	-999	TRUE	BCL analysis	N
TrBR	TWC_MIN_TrBR	-1000	-1001	-999	TRUE	BCL analysis	N
TeBS	TWC_MIN_TeBS	-1000	-1001	-999	TRUE	BCL analysis	N
BoBS	TWC_MIN_BoBS	13.9	5	25	TRUE	BCL analysis	S
TeNE	TWC_MIN_TeNE	-1000	-1001	-999	TRUE	BCL analysis	N
BoNE	TWC_MIN_BoNE	14.35	10	20	TRUE	BCL analysis	S
BoNS	TWC_MIN_BoNS	35	20	50	TRUE	BCL analysis	S
TrH	TWC_MIN_TrH	-1000	-1001	-999	TRUE	BCL analysis	N
TeH	TWC_MIN_TeH	-1000	-1001	-999	TRUE	BCL analysis	N
PoH	TWC_MIN_PoH	10	-1	20	TRUE	BCL analysis	S
TrBE	LEAF_LONGEVITY_TrBE	2	1	6	TRUE	LPJmL default	S
TrBR	LEAF_LONGEVITY_TrBR	0.65	0.4	1	TRUE	LPJmL default	S
TeBE	LEAF_LONGEVITY_TeBE	1	0.8	6	TRUE	LPJmL default	S
TeBS	LEAF_LONGEVITY_TeBS	0.5	0.4	0.8	TRUE	LPJmL default	S
TeNE	LEAF_LONGEVITY_TeNE	4	1	6	TRUE	LPJmL default	S
BoNE	LEAF_LONGEVITY_BoNE	4	1	6	TRUE	LPJmL default	S
BoBS	LEAF_LONGEVITY_BoBS	0.5	0.4	0.8	TRUE	LPJmL default	S
BoNS	LEAF_LONGEVITY_BoNS	0.5	0.4	0.8	TRUE	LPJmL default	S
TrH	LEAF_LONGEVITY_TrH	0.5	0.3	1.1	TRUE	LPJmL default	S
TeH	LEAF_LONGEVITY_TeH	0.5	0.3	1.1	TRUE	LPJmL default	S
PoH	LEAF_LONGEVITY_PoH	0.5	0.3	1.1	TRUE	LPJmL default	S
TrBE	ALLOM1_TrBE	100	75	125	TRUE	LPJmL default	S
TrBR	ALLOM1_TrBR	100	75	125	TRUE	LPJmL default	S
TeBE	ALLOM1_TeBE	100	75	125	TRUE	LPJmL default	S
TeBS	ALLOM1_TeBS	100	75	125	TRUE	LPJmL default	S
TeNE	ALLOM1_TeNE	100	75	125	TRUE	LPJmL default	S
BoNE	ALLOM1_BoNE	100	75	125	TRUE	LPJmL default	S
BoBS	ALLOM1_BoBS	100	75	125	TRUE	LPJmL default	S
BoNS	ALLOM1_BoNS	100	75	125	TRUE	LPJmL default	S
TrBE	ALLOM2_TrBE	40	20	60	TRUE	LPJmL default	S
TrBR	ALLOM2_TrBR	40	20	60	TRUE	LPJmL default	S
TeBE	ALLOM2_TeBE	40	20	60	TRUE	LPJmL default	S
TeBS	ALLOM2_TeBS	40	20	60	TRUE	LPJmL default	S
TeNE	ALLOM2_TeNE	40	20	60	TRUE	LPJmL default	S
