pft,par.names,par.prior,par.lower,par.upper,par.pftspecif,check,comment,sensitivity
TrBE,WATER_SL_TrBE,5.14,0.1,9.02,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,S
TrBE,WATER_BASE_TrBE,4.997,-100,100,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,S
TrBE,WATER_TAU_TrBE,0.44,0.01,0.85,TRUE,WAHRWAHR,lpj_parameters_for_optim_NewPhen_NewPFT_3_grasses_postHerb_postTree1_postAll.txt,S
TrBE,MORT_MAX_TrBE,0.03,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
TrBE,K_EST_TrBE,0.12,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
TrBE,TWMAX_TrBE,1000,999,1001,TRUE,WAHRWAHR,LPJmL default,N
TrBE,TSAP_TrBE,20,5,100,TRUE,WAHRWAHR,LPJmL default,S
TrBR,ALPHAA_TrBR,0.5153,0.22,0.89,TRUE,WAHRWAHR,LPJmL default,S
TrBR,TPHOTO_LOW_TrBR,25,5,27,TRUE,WAHRWAHR,LPJmL default,S
TrBR,TPHOTO_HIGH_TrBR,30,27.1,50,TRUE,WAHRWAHR,LPJmL default,S
TrBR,ALBEDO_LEAF_TrBR,0.12,0,0.2,TRUE,WAHRWAHR,LPJmL default,S
TrBR,ALBEDO_STEM_TrBR,0.1,0.06,0.2,TRUE,WAHRWAHR,LPJmL default,N
TrBR,ALBEDO_LITTER_TrBR,0.1,0.06,0.24,TRUE,WAHRWAHR,LPJmL default,N
TrBR,SNOWCANOPYFRAC_TrBR,0.4,0.1,0.9,TRUE,WAHRWAHR,LPJmL default,N
TrBR,LIGHTEXTCOEFF_TrBR,0.7439,0.2,2,TRUE,WAHRWAHR,LPJmL default,S
TrBR,TMIN_SL_TrBR,0.24,0.1,2,TRUE,WAHRWAHR,LPJmL default,S
TrBR,TMIN_BASE_TrBR,7.66,-50,50,TRUE,WAHRWAHR,LPJmL default,S
TrBR,TMIN_TAU_TrBR,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
TrBR,TMAX_SL_TrBR,1.625,0.15,2.88,TRUE,WAHRWAHR,LPJmL default,S
TrBR,TMAX_BASE_TrBR,38.64,25,1000,TRUE,WAHRWAHR,LPJmL default,S
TrBR,TMAX_TAU_TrBR,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
TrBR,LIGHT_SL_TrBR,23,0.05,94,TRUE,WAHRWAHR,LPJmL default,S
TrBR,LIGHT_BASE_TrBR,13.01,-100,200,TRUE,WAHRWAHR,LPJmL default,S
TrBR,LIGHT_TAU_TrBR,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
TrBR,WATER_SL_TrBR,7.97,0.1,9.24,TRUE,WAHRWAHR,LPJmL default,S
TrBR,WATER_BASE_TrBR,22.21,-100,100,TRUE,WAHRWAHR,LPJmL default,S
TrBR,WATER_TAU_TrBR,0.1348,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
TrBR,MORT_MAX_TrBR,0.03,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
TrBR,K_EST_TrBR,0.12,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
TrBR,TWMAX_TrBR,1000,999,1001,TRUE,WAHRWAHR,LPJmL default,N
TrBR,TSAP_TrBR,20,5,100,TRUE,WAHRWAHR,LPJmL default,S
TrBR,MINWSCAL_TrBR,0.85,0,1,TRUE,WAHRWAHR,LPJmL default,N
TeNE,ALPHAA_TeNE,0.4389,0.29,0.8,TRUE,WAHRWAHR,LPJmL default,S
TeNE,TPHOTO_LOW_TeNE,20,5,27,TRUE,WAHRWAHR,LPJmL default,S
TeNE,TPHOTO_HIGH_TeNE,30,27.1,50,TRUE,WAHRWAHR,LPJmL default,S
TeNE,ALBEDO_LEAF_TeNE,0.1162,0.01,0.25,TRUE,WAHRWAHR,LPJmL default,S
TeNE,ALBEDO_STEM_TeNE,0.04,0,0.28,TRUE,WAHRWAHR,LPJmL default,N
TeNE,ALBEDO_LITTER_TeNE,0.05,0.04,0.18,TRUE,WAHRWAHR,LPJmL default,N
TeNE,SNOWCANOPYFRAC_TeNE,0.1,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,N
TeNE,LIGHTEXTCOEFF_TeNE,0.4744,0.1,2,TRUE,WAHRWAHR,LPJmL default,S
TeNE,TMIN_SL_TeNE,0.2172,0.1,1.95,TRUE,WAHRWAHR,LPJmL default,S
TeNE,TMIN_BASE_TeNE,-7.813,-50,50,TRUE,WAHRWAHR,LPJmL default,S
TeNE,TMIN_TAU_TeNE,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
TeNE,TMAX_SL_TeNE,1.83,0.03,2.96,TRUE,WAHRWAHR,LPJmL default,N
TeNE,TMAX_BASE_TeNE,1000,999,1001,TRUE,WAHRWAHR,LPJmL default,N
TeNE,TMAX_TAU_TeNE,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,N
TeNE,LIGHT_SL_TeNE,20,0.05,90,TRUE,WAHRWAHR,LPJmL default,S
TeNE,LIGHT_BASE_TeNE,4.872,-100,200,TRUE,WAHRWAHR,LPJmL default,S
TeNE,LIGHT_TAU_TeNE,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
TeNE,WATER_SL_TeNE,5,0.1,10,TRUE,WAHRWAHR,LPJmL default,S
TeNE,WATER_BASE_TeNE,8.613,-100,100,TRUE,WAHRWAHR,LPJmL default,S
TeNE,WATER_TAU_TeNE,0.8,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
TeNE,MORT_MAX_TeNE,0.03,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
TeNE,K_EST_TeNE,0.12,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
TeNE,TWMAX_TeNE,1000,999,1001,TRUE,WAHRWAHR,LPJmL default,N
TeNE,TSAP_TeNE,20,5,100,TRUE,WAHRWAHR,LPJmL default,S
TeBE,ALPHAA_TeBE,0.446,0.12,0.88,TRUE,WAHRWAHR,LPJmL default,S
TeBE,TPHOTO_LOW_TeBE,20,5,27,TRUE,WAHRWAHR,LPJmL default,S
TeBE,TPHOTO_HIGH_TeBE,30,27.1,50,TRUE,WAHRWAHR,LPJmL default,S
TeBE,ALBEDO_LEAF_TeBE,0.1238,0.01,0.22,TRUE,WAHRWAHR,LPJmL default,S
TeBE,ALBEDO_STEM_TeBE,0.04,0.03,0.27,TRUE,WAHRWAHR,LPJmL default,N
TeBE,ALBEDO_LITTER_TeBE,0.1,0.04,0.29,TRUE,WAHRWAHR,LPJmL default,N
TeBE,SNOWCANOPYFRAC_TeBE,0.4,0.1,0.9,TRUE,WAHRWAHR,LPJmL default,N
TeBE,LIGHTEXTCOEFF_TeBE,0.6967,0.2,2,TRUE,WAHRWAHR,LPJmL default,S
TeBE,TMIN_SL_TeBE,0.55,0.15,1.87,TRUE,WAHRWAHR,LPJmL default,S
TeBE,TMIN_BASE_TeBE,-0.6297,-50,50,TRUE,WAHRWAHR,LPJmL default,S
TeBE,TMIN_TAU_TeBE,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
TeBE,TMAX_SL_TeBE,0.98,0.11,2.81,TRUE,WAHRWAHR,LPJmL default,N
TeBE,TMAX_BASE_TeBE,1000,999,1001,TRUE,WAHRWAHR,LPJmL default,N
TeBE,TMAX_TAU_TeBE,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,N
TeBE,LIGHT_SL_TeBE,18.83,1,35.45,TRUE,WAHRWAHR,LPJmL default,S
TeBE,LIGHT_BASE_TeBE,39.32,-100,200,TRUE,WAHRWAHR,LPJmL default,S
TeBE,LIGHT_TAU_TeBE,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
TeBE,WATER_SL_TeBE,5,0.1,10,TRUE,WAHRWAHR,LPJmL default,S
TeBE,WATER_BASE_TeBE,8.821,-100,100,TRUE,WAHRWAHR,LPJmL default,S
TeBE,WATER_TAU_TeBE,0.8,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
TeBE,MORT_MAX_TeBE,0.03,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
TeBE,K_EST_TeBE,0.12,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
TeBE,TWMAX_TeBE,1000,999,1001,TRUE,WAHRWAHR,LPJmL default,N
TeBE,TSAP_TeBE,20,5,100,TRUE,WAHRWAHR,LPJmL default,S
TeBS,ALPHAA_TeBS,0.61,0.1,0.9,TRUE,WAHRWAHR,LPJmL default,S
TeBS,TPHOTO_LOW_TeBS,20,0,22.5,TRUE,WAHRWAHR,LPJmL default,S
TeBS,TPHOTO_HIGH_TeBS,25,22.51,50,TRUE,WAHRWAHR,LPJmL default,S
TeBS,ALBEDO_LEAF_TeBS,0.1798,0.1,0.3,TRUE,WAHRWAHR,LPJmL default,S
TeBS,ALBEDO_STEM_TeBS,0.04,0.01,0.1,TRUE,WAHRWAHR,LPJmL default,N
TeBS,ALBEDO_LITTER_TeBS,0.14,0.01,0.15,TRUE,WAHRWAHR,LPJmL default,N
TeBS,SNOWCANOPYFRAC_TeBS,0.4,0.1,0.9,TRUE,WAHRWAHR,LPJmL default,N
TeBS,LIGHTEXTCOEFF_TeBS,0.6037,0.2,2,TRUE,WAHRWAHR,LPJmL default,S
TeBS,TMIN_SL_TeBS,0.2591,0.21,0.84,TRUE,WAHRWAHR,LPJmL default,S
TeBS,TMIN_BASE_TeBS,13.69,-50,50,TRUE,WAHRWAHR,LPJmL default,S
TeBS,TMIN_TAU_TeBS,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
TeBS,TMAX_SL_TeBS,1.74,0.68,2.76,TRUE,WAHRWAHR,LPJmL default,N
TeBS,TMAX_BASE_TeBS,1000,999,1001,TRUE,WAHRWAHR,LPJmL default,N
TeBS,TMAX_TAU_TeBS,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,N
TeBS,LIGHT_SL_TeBS,58,0.05,160,TRUE,WAHRWAHR,LPJmL default,S
TeBS,LIGHT_BASE_TeBS,59.78,-100,200,TRUE,WAHRWAHR,LPJmL default,S
TeBS,LIGHT_TAU_TeBS,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
TeBS,WATER_SL_TeBS,5.24,0.73,9.4,TRUE,WAHRWAHR,LPJmL default,S
TeBS,WATER_BASE_TeBS,20.96,-100,100,TRUE,WAHRWAHR,LPJmL default,S
TeBS,WATER_TAU_TeBS,0.8,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
TeBS,RAMP_TeBS,300,150,400,TRUE,WAHRWAHR,LPJmL default,N
TeBS,APHEN_MIN_TeBS,10,1,600,TRUE,WAHRWAHR,LPJmL default,N
TeBS,APHEN_MAX_TeBS,201.97,1,600,TRUE,WAHRWAHR,LPJmL default,N
TeBS,MORT_MAX_TeBS,0.03,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
TeBS,K_EST_TeBS,0.12,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
TeBS,TWMAX_TeBS,1000,999,1001,TRUE,WAHRWAHR,LPJmL default,N
TeBS,TSAP_TeBS,20,5,100,TRUE,WAHRWAHR,LPJmL default,S
BoNE,ALPHAA_BoNE,0.223,0.1,0.9,TRUE,WAHRWAHR,LPJmL default,S
BoNE,TPHOTO_LOW_BoNE,15,0,20,TRUE,WAHRWAHR,LPJmL default,S
BoNE,TPHOTO_HIGH_BoNE,25,20.1,50,TRUE,WAHRWAHR,LPJmL default,S
BoNE,ALBEDO_LEAF_BoNE,0.09828,0.001,0.25,TRUE,WAHRWAHR,LPJmL default,S
BoNE,ALBEDO_STEM_BoNE,0.06,0,0.19,TRUE,WAHRWAHR,LPJmL default,N
BoNE,ALBEDO_LITTER_BoNE,0.01065,0.01,0.2,TRUE,WAHRWAHR,LPJmL default,N
BoNE,SNOWCANOPYFRAC_BoNE,0.1,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,N
BoNE,LIGHTEXTCOEFF_BoNE,0.442,0.1,2,TRUE,WAHRWAHR,LPJmL default,S
BoNE,TMIN_SL_BoNE,0.1008,0.1,1.93,TRUE,WAHRWAHR,LPJmL default,S
BoNE,TMIN_BASE_BoNE,-7.516,-50,50,TRUE,WAHRWAHR,LPJmL default,S
BoNE,TMIN_TAU_BoNE,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
BoNE,TMAX_SL_BoNE,0.24,0.01,3,TRUE,WAHRWAHR,LPJmL default,N
BoNE,TMAX_BASE_BoNE,1000,999,1001,TRUE,WAHRWAHR,LPJmL default,N
BoNE,TMAX_TAU_BoNE,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,N
BoNE,LIGHT_SL_BoNE,14,0.05,80,TRUE,WAHRWAHR,LPJmL default,S
BoNE,LIGHT_BASE_BoNE,3.04,-100,200,TRUE,WAHRWAHR,LPJmL default,S
BoNE,LIGHT_TAU_BoNE,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
BoNE,WATER_SL_BoNE,5,0.1,10,TRUE,WAHRWAHR,LPJmL default,S
BoNE,WATER_BASE_BoNE,0.007695,-100,100,TRUE,WAHRWAHR,LPJmL default,S
BoNE,WATER_TAU_BoNE,0.8,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
BoNE,MORT_MAX_BoNE,0.03,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
BoNE,K_EST_BoNE,0.12,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
BoNE,TWMAX_BoNE,23,0,40,TRUE,WAHRWAHR,LPJmL default,S
BoNE,TSAP_BoNE,20,5,100,TRUE,WAHRWAHR,LPJmL default,S
BoBS,ALPHAA_BoBS,0.41,0.19,0.7,TRUE,WAHRWAHR,LPJmL default,S
BoBS,TPHOTO_LOW_BoBS,15,0,20,TRUE,WAHRWAHR,LPJmL default,S
BoBS,TPHOTO_HIGH_BoBS,25,20.1,50,TRUE,WAHRWAHR,LPJmL default,S
BoBS,ALBEDO_LEAF_BoBS,0.1617,0.01,0.25,TRUE,WAHRWAHR,LPJmL default,S
BoBS,ALBEDO_STEM_BoBS,0.06,0,0.11,TRUE,WAHRWAHR,LPJmL default,N
BoBS,ALBEDO_LITTER_BoBS,0.004618,0,0.19,TRUE,WAHRWAHR,LPJmL default,N
BoBS,SNOWCANOPYFRAC_BoBS,0.15,0.1,0.9,TRUE,WAHRWAHR,LPJmL default,N
BoBS,LIGHTEXTCOEFF_BoBS,0.4058,0.19,2,TRUE,WAHRWAHR,LPJmL default,S
BoBS,TMIN_SL_BoBS,0.2153,0.11,1.35,TRUE,WAHRWAHR,LPJmL default,S
BoBS,TMIN_BASE_BoBS,2.045,-50,50,TRUE,WAHRWAHR,LPJmL default,S
BoBS,TMIN_TAU_BoBS,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
BoBS,TMAX_SL_BoBS,1.74,0.01,3,TRUE,WAHRWAHR,LPJmL default,N
BoBS,TMAX_BASE_BoBS,1000,999,1001,TRUE,WAHRWAHR,LPJmL default,N
BoBS,TMAX_TAU_BoBS,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,N
BoBS,LIGHT_SL_BoBS,58,32.76,188.94,TRUE,WAHRWAHR,LPJmL default,S
BoBS,LIGHT_BASE_BoBS,59.78,-100,200,TRUE,WAHRWAHR,LPJmL default,S
BoBS,LIGHT_TAU_BoBS,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
BoBS,WATER_SL_BoBS,5.24,1.04,9.84,TRUE,WAHRWAHR,LPJmL default,S
BoBS,WATER_BASE_BoBS,20.96,-100,100,TRUE,WAHRWAHR,LPJmL default,S
BoBS,WATER_TAU_BoBS,0.8,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
BoBS,MORT_MAX_BoBS,0.03,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
BoBS,K_EST_BoBS,0.12,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
BoBS,TWMAX_BoBS,23,0,40,TRUE,WAHRWAHR,LPJmL default,S
BoBS,TSAP_BoBS,20,5,100,TRUE,WAHRWAHR,LPJmL default,S
BoBS,APHEN_MIN_BoBS,10,1,600,TRUE,WAHRWAHR,LPJmL default,N
BoBS,APHEN_MAX_BoBS,105.78,1,600,TRUE,WAHRWAHR,LPJmL default,N
BoNS,ALPHAA_BoNS,0.3393,0.17,0.8,TRUE,WAHRWAHR,LPJmL default,S
BoNS,TPHOTO_LOW_BoNS,15,0,30,TRUE,WAHRWAHR,LPJmL default,S
BoNS,TPHOTO_HIGH_BoNS,25,20.1,50,TRUE,WAHRWAHR,LPJmL default,S
BoNS,ALBEDO_LEAF_BoNS,0.1185,0.01,0.25,TRUE,WAHRWAHR,LPJmL default,S
BoNS,ALBEDO_STEM_BoNS,0.04,0.01,0.1,TRUE,WAHRWAHR,LPJmL default,N
BoNS,ALBEDO_LITTER_BoNS,0.01,0,0.15,TRUE,WAHRWAHR,LPJmL default,N
BoNS,SNOWCANOPYFRAC_BoNS,0.18,0.1,0.9,TRUE,WAHRWAHR,LPJmL default,N
BoNS,LIGHTEXTCOEFF_BoNS,0.6559,0.2,2,TRUE,WAHRWAHR,LPJmL default,S
BoNS,TMIN_SL_BoNS,0.15,0.1,0.24,TRUE,WAHRWAHR,LPJmL default,S
BoNS,TMIN_BASE_BoNS,-4.165,-50,50,TRUE,WAHRWAHR,LPJmL default,S
BoNS,TMIN_TAU_BoNS,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
BoNS,TMAX_SL_BoNS,0.24,0.01,3,TRUE,WAHRWAHR,LPJmL default,N
BoNS,TMAX_BASE_BoNS,1000,999,1001,TRUE,WAHRWAHR,LPJmL default,N
BoNS,TMAX_TAU_BoNS,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,N
BoNS,LIGHT_SL_BoNS,95,0.05,200,TRUE,WAHRWAHR,LPJmL default,S
BoNS,LIGHT_BASE_BoNS,130.1,-100,200,TRUE,WAHRWAHR,LPJmL default,S
BoNS,LIGHT_TAU_BoNS,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
BoNS,WATER_SL_BoNS,5,0.1,10,TRUE,WAHRWAHR,LPJmL default,S
BoNS,WATER_BASE_BoNS,2.344,-100,100,TRUE,WAHRWAHR,LPJmL default,S
BoNS,WATER_TAU_BoNS,0.8,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
BoNS,MORT_MAX_BoNS,0.03,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
BoNS,K_EST_BoNS,0.12,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
BoNS,TWMAX_BoNS,23,0,40,TRUE,WAHRWAHR,LPJmL default,S
BoNS,TSAP_BoNS,20,5,100,TRUE,WAHRWAHR,LPJmL default,S
BoNS,APHEN_MIN_BoNS,10,1,600,TRUE,WAHRWAHR,LPJmL default,N
BoNS,APHEN_MAX_BoNS,105.78,1,600,TRUE,WAHRWAHR,LPJmL default,N
TrH,ALPHAA_TrH,0.4002,0.4,0.83,TRUE,WAHRWAHR,LPJmL default,S
TrH,TPHOTO_LOW_TrH,20,0,28,TRUE,WAHRWAHR,LPJmL default,S
TrH,TPHOTO_HIGH_TrH,45,28.1,55,TRUE,WAHRWAHR,LPJmL default,S
TrH,ALBEDO_LEAF_TrH,0.2363,0.01,0.24,TRUE,WAHRWAHR,LPJmL default,S
TrH,ALBEDO_STEM_TrH,0.15,0.09,0.21,TRUE,WAHRWAHR,LPJmL default,N
TrH,ALBEDO_LITTER_TrH,0.1211,0.02,0.13,TRUE,WAHRWAHR,LPJmL default,N
TrH,SNOWCANOPYFRAC_TrH,0.4,0.1,0.9,TRUE,WAHRWAHR,LPJmL default,N
TrH,LIGHTEXTCOEFF_TrH,0.51,0.16,2,TRUE,WAHRWAHR,LPJmL default,S
TrH,TMIN_SL_TrH,0.91,0.12,1.97,TRUE,WAHRWAHR,LPJmL default,S
TrH,TMIN_BASE_TrH,6.418,-50,50,TRUE,WAHRWAHR,LPJmL default,S
TrH,TMIN_TAU_TrH,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
TrH,TMAX_SL_TrH,1.47,0.03,2.71,TRUE,WAHRWAHR,LPJmL default,S
TrH,TMAX_BASE_TrH,29.16,20,1000,TRUE,WAHRWAHR,LPJmL default,S
TrH,TMAX_TAU_TrH,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
TrH,LIGHT_SL_TrH,64.23,0.08,128.57,TRUE,WAHRWAHR,LPJmL default,S
TrH,LIGHT_BASE_TrH,69.9,-100,200,TRUE,WAHRWAHR,LPJmL default,S
TrH,LIGHT_TAU_TrH,0.4,0.06,0.88,TRUE,WAHRWAHR,LPJmL default,S
TrH,WATER_SL_TrH,0.1,0.01,1,TRUE,WAHRWAHR,LPJmL default,S
TrH,WATER_BASE_TrH,41.72,-100,100,TRUE,WAHRWAHR,LPJmL default,S
TrH,WATER_TAU_TrH,0.17,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
TrH,RAMP_TrH,100,1,1000,TRUE,WAHRWAHR,LPJmL default,S
TrH,TWMAX_TrH,1000,999,1001,TRUE,WAHRWAHR,LPJmL default,N
TeH,ALPHAA_TeH,0.3183,0.12,0.82,TRUE,WAHRWAHR,LPJmL default,S
TeH,TPHOTO_LOW_TeH,10,0,20,TRUE,WAHRWAHR,LPJmL default,S
TeH,TPHOTO_HIGH_TeH,30,20.1,40,TRUE,WAHRWAHR,LPJmL default,S
TeH,ALBEDO_LEAF_TeH,0.1839,0.11,0.28,TRUE,WAHRWAHR,LPJmL default,S
TeH,ALBEDO_STEM_TeH,0.15,0.077,0.21,TRUE,WAHRWAHR,LPJmL default,N
TeH,ALBEDO_LITTER_TeH,0.06767,0.01,0.16,TRUE,WAHRWAHR,LPJmL default,N
TeH,SNOWCANOPYFRAC_TeH,0.4,0.1,0.9,TRUE,WAHRWAHR,LPJmL default,N
TeH,LIGHTEXTCOEFF_TeH,0.502,0.16,2,TRUE,WAHRWAHR,LPJmL default,S
TeH,TMIN_SL_TeH,0.3111,0.1,1.94,TRUE,WAHRWAHR,LPJmL default,S
TeH,TMIN_BASE_TeH,4.979,-50,50,TRUE,WAHRWAHR,LPJmL default,S
TeH,TMIN_TAU_TeH,0.01011,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
TeH,TMAX_SL_TeH,0.24,0.01,3,TRUE,WAHRWAHR,LPJmL default,S
TeH,TMAX_BASE_TeH,1000,999,1001,TRUE,WAHRWAHR,LPJmL default,S
TeH,TMAX_TAU_TeH,0.2,0.01,0.9,TRUE,WAHRWAHR,LPJmL default,S
TeH,LIGHT_SL_TeH,23,0.05,160,TRUE,WAHRWAHR,LPJmL default,S
TeH,LIGHT_BASE_TeH,75.94,-100,200,TRUE,WAHRWAHR,LPJmL default,S
TeH,LIGHT_TAU_TeH,0.22,0.01,0.82,TRUE,WAHRWAHR,LPJmL default,S
TeH,WATER_SL_TeH,0.5222,0.1,9.38,TRUE,WAHRWAHR,LPJmL default,S
TeH,WATER_BASE_TeH,53.07,-100,100,TRUE,WAHRWAHR,LPJmL default,S
TeH,WATER_TAU_TeH,0.01001,0.01,0.99,TRUE,WAHRWAHR,LPJmL default,S
TeH,RAMP_TeH,100,1,150,TRUE,WAHRWAHR,LPJmL default,N
TeH,TWMAX_TeH,1000,999,1001,TRUE,WAHRWAHR,LPJmL default,N
PoH,ALPHAA_PoH,0.426,0.1,0.8,TRUE,WAHRWAHR,LPJmL default,S
PoH,TPHOTO_LOW_PoH,10,0,20,TRUE,WAHRWAHR,LPJmL default,S
PoH,TPHOTO_HIGH_PoH,30,20.1,40,TRUE,WAHRWAHR,LPJmL default,S
PoH,ALBEDO_LEAF_PoH,0.07,0.06,0.3,TRUE,WAHRWAHR,LPJmL default,S
PoH,ALBEDO_STEM_PoH,0.15,0.077,0.21,TRUE,WAHRWAHR,LPJmL default,N
PoH,ALBEDO_LITTER_PoH,0.03,0.01,0.23,TRUE,WAHRWAHR,LPJmL default,N
PoH,SNOWCANOPYFRAC_PoH,0.4,0.1,0.9,TRUE,WAHRWAHR,LPJmL default,N
PoH,LIGHTEXTCOEFF_PoH,0.51,0.1,2,TRUE,WAHRWAHR,LPJmL default,S
